DATE,Open,High,Low,Close,Volume
01/01/1996,3.0299999713897705,3.0299999713897705,2.924999952316284,2.9800000190734863,350000
01/02/1996,2.9800000190734863,3.0250000953674316,2.950000047683716,2.9749999046325684,412000
01/03/1996,2.9749999046325684,2.994999885559082,2.950000047683716,2.984999895095825,284000
01/04/1996,2.984999895095825,2.9800000190734863,2.940000057220459,2.9649999141693115,282000
01/05/1996,2.9649999141693115,2.9800000190734863,2.950000047683716,2.9600000381469727,189000
01/08/1996,2.9600000381469727,2.950000047683716,2.9100000858306885,2.924999952316284,237000
01/09/1996,2.924999952316284,2.924999952316284,2.799999952316284,2.8299999237060547,483000
01/10/1996,2.8299999237060547,2.865000009536743,2.809999942779541,2.8399999141693115,226000
01/11/1996,2.8399999141693115,2.880000114440918,2.799999952316284,2.8299999237060547,318000
01/12/1996,2.8299999237060547,2.8350000381469727,2.799999952316284,2.825000047683716,431000
01/15/1996,2.825000047683716,2.815000057220459,2.7750000953674316,2.7899999618530273,181000
01/16/1996,2.7899999618530273,2.799999952316284,2.740000009536743,2.740000009536743,358000
01/17/1996,2.740000009536743,2.7950000762939453,2.630000114440918,2.6549999713897705,429000
01/18/1996,2.6549999713897705,2.6549999713897705,2.5999999046325684,2.640000104904175,330000
01/19/1996,2.640000104904175,2.630000114440918,2.5350000858306885,2.555000066757202,426000
01/22/1996,2.555000066757202,2.5899999141693115,2.5199999809265137,2.5450000762939453,359000
01/23/1996,2.5450000762939453,2.5999999046325684,2.509999990463257,2.5299999713897705,399000
01/24/1996,2.5299999713897705,2.5299999713897705,2.450000047683716,2.4649999141693115,449000
01/25/1996,2.4649999141693115,2.450000047683716,2.4100000858306885,2.434999942779541,390000
01/26/1996,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,0
01/29/1996,2.434999942779541,2.494999885559082,2.3949999809265137,2.484999895095825,311000
01/30/1996,2.484999895095825,2.549999952316284,2.484999895095825,2.5199999809265137,452000
01/31/1996,2.5199999809265137,2.634999990463257,2.549999952316284,2.5899999141693115,344000
02/01/1996,2.5899999141693115,2.799999952316284,2.5999999046325684,2.7799999713897705,424000
02/02/1996,2.7799999713897705,2.994999885559082,2.799999952316284,2.9149999618530273,819000
02/05/1996,2.9149999618530273,3.0999999046325684,2.950000047683716,2.994999885559082,906000
02/06/1996,2.994999885559082,3.049999952316284,2.950000047683716,2.9749999046325684,888000
02/07/1996,2.9749999046325684,2.924999952316284,2.825000047683716,2.865000009536743,586000
02/08/1996,2.865000009536743,3.1500000953674316,2.884999990463257,3.0450000762939453,667000
02/09/1996,3.0450000762939453,3.6549999713897705,3.3499999046325684,3.6500000953674316,1720000
02/12/1996,3.6500000953674316,3.7950000762939453,3.450000047683716,3.509999990463257,2851000
02/13/1996,3.5999999046325684,3.5999999046325684,3.325000047683716,3.450000047683716,1451000
02/14/1996,3.450000047683716,3.799999952316284,3.5899999141693115,3.7100000381469727,2464000
02/15/1996,3.7100000381469727,3.7699999809265137,3.6700000762939453,3.684999942779541,1191000
02/16/1996,3.684999942779541,3.674999952316284,3.509999990463257,3.559999942779541,1396000
02/19/1996,3.559999942779541,3.6500000953674316,3.5,3.515000104904175,1297000
02/20/1996,3.515000104904175,3.515000104904175,3.305000066757202,3.365000009536743,1361000
02/21/1996,3.365000009536743,3.365000009536743,3.365000009536743,3.365000009536743,0
02/22/1996,3.365000009536743,3.4749999046325684,3.4000000953674316,3.424999952316284,848000
02/23/1996,3.424999952316284,3.5,3.4000000953674316,3.4200000762939453,687000
02/26/1996,3.4200000762939453,3.4749999046325684,3.375,3.384999990463257,647000
02/27/1996,3.390000104904175,3.424999952316284,3.299999952316284,3.3949999809265137,841000
02/28/1996,3.3949999809265137,3.444999933242798,3.305000066757202,3.325000047683716,422000
02/29/1996,3.299999952316284,3.299999952316284,3.0,3.065000057220459,1275000
03/01/1996,3.065000057220459,3.1500000953674316,3.0,3.109999895095825,732000
03/04/1996,3.109999895095825,3.0999999046325684,3.049999952316284,3.065000057220459,647000
03/05/1996,3.065000057220459,3.065000057220459,3.065000057220459,3.065000057220459,0
03/06/1996,3.065000057220459,3.1500000953674316,3.0799999237060547,3.0999999046325684,360000
03/07/1996,3.0999999046325684,3.1500000953674316,3.0250000953674316,3.059999942779541,486000
03/08/1996,3.059999942779541,3.069999933242798,3.0,3.049999952316284,387000
03/11/1996,3.049999952316284,3.0450000762939453,2.9749999046325684,2.994999885559082,324000
03/12/1996,2.994999885559082,2.994999885559082,2.930000066757202,2.9549999237060547,400000
03/13/1996,2.9549999237060547,3.0999999046325684,3.0,3.0799999237060547,486000
03/14/1996,3.0799999237060547,3.1500000953674316,3.0450000762939453,3.069999933242798,529000
03/15/1996,3.0999999046325684,3.0999999046325684,3.0,3.0,807000
03/18/1996,3.0,3.0250000953674316,2.930000066757202,2.984999895095825,388000
03/19/1996,2.984999895095825,3.0,2.9000000953674316,2.9549999237060547,617000
03/20/1996,2.9549999237060547,2.9549999237060547,2.9549999237060547,2.9549999237060547,0
03/21/1996,2.9549999237060547,3.015000104904175,2.950000047683716,3.005000114440918,643000
03/22/1996,3.005000114440918,3.0199999809265137,2.934999942779541,2.994999885559082,194000
03/25/1996,2.994999885559082,3.049999952316284,2.9800000190734863,3.0250000953674316,413000
03/26/1996,3.0250000953674316,3.0799999237060547,2.9800000190734863,3.0450000762939453,643000
03/27/1996,3.0450000762939453,3.109999895095825,3.0299999713897705,3.0999999046325684,795000
03/28/1996,3.0999999046325684,3.2750000953674316,3.130000114440918,3.2100000381469727,1124000
03/29/1996,3.2100000381469727,3.309999942779541,3.200000047683716,3.244999885559082,1356000
04/01/1996,3.244999885559082,3.299999952316284,3.240000009536743,3.2899999618530273,963000
04/02/1996,3.2899999618530273,3.450000047683716,3.2799999713897705,3.4000000953674316,1835000
04/03/1996,3.4000000953674316,3.5999999046325684,3.4000000953674316,3.490000009536743,2082000
04/04/1996,3.490000009536743,3.4549999237060547,3.3499999046325684,3.4049999713897705,1134000
04/05/1996,3.4049999713897705,3.4049999713897705,3.4049999713897705,3.4049999713897705,0
04/08/1996,3.4049999713897705,3.4700000286102295,3.4100000858306885,3.450000047683716,925000
04/09/1996,3.450000047683716,3.4600000381469727,3.3550000190734863,3.384999990463257,1219000
04/10/1996,3.384999990463257,3.4600000381469727,3.240000009536743,3.2850000858306885,904000
04/11/1996,3.25,3.3399999141693115,3.25,3.3350000381469727,631000
04/12/1996,3.3350000381469727,3.384999990463257,3.2799999713897705,3.3499999046325684,564000
04/15/1996,3.4100000858306885,3.4549999237060547,3.375,3.424999952316284,988000
04/16/1996,3.4200000762939453,3.434999942779541,3.359999895095825,3.375,783000
04/17/1996,3.375,3.5250000953674316,3.424999952316284,3.505000114440918,1546000
04/18/1996,3.549999952316284,3.694999933242798,3.505000114440918,3.6549999713897705,2706000
04/19/1996,3.700000047683716,4.025000095367432,3.625,3.8450000286102295,6350000
04/22/1996,4.0,4.099999904632568,3.7049999237060547,3.7699999809265137,5643000
04/23/1996,3.7699999809265137,3.7899999618530273,3.630000114440918,3.7100000381469727,3214000
04/24/1996,3.8949999809265137,4.050000190734863,3.799999952316284,3.8450000286102295,5343000
